kpi_name,period,value,delta,driver,status,scenario_id
capacity_violations_count,2020-03,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-03,928.313,7.5074,Wheat price,neutral,base
waste_rate_pct,2020-03,2.222,0.434,Recipe mix,positive,base
vision_2030_index,2020-03,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-03,3879254.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-03,64071.89,0.0,Flour demand,neutral,base
total_recipe_hours,2020-03,1629.81,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-03,87.1912,0.0,Model accuracy,positive,base
seasonality_index,2020-03,1.0768,0.0,Calendar,neutral,base
planned_recipe_hours,2020-03,1734.0,0.0,Schedule,neutral,base
available_mill_hours,2020-03,1812.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-03,78.0,0.0,Capacity balance,positive,base
avg_changeovers,2020-03,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-03,890.5972,0.0,Raw material,neutral,base
waste_impact_pct,2020-03,2.222,0.0,Waste,positive,base
mill_utilization_pct,2020-03,95.6954,0.0,Utilization,negative,base
overload_hours,2020-03,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-03,105.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-03,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-03,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-03,64071.88,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-03,928.313,0.0,Market,neutral,base
import_dependency_pct,2020-03,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-03,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-03,0.057,0.0,Quality,neutral,base
waste_rate_vs_target,2020-03,-0.28,0.0,Gap to target,positive,base
energy_per_ton,2020-03,69.404,0.0,Efficiency,neutral,base
water_per_ton,2020-03,0.7806,0.0,Conservation,neutral,base
vision_2030_compliance,2020-03,85.5,0.0,Composite,positive,base
total_demand_tons,2020-04,67050.2,4.6484,SKU forecast,positive,base
recipe_time_utilization_pct,2020-04,96.5023,0.8069,Time constraint,negative,base
capacity_violations_count,2020-04,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-04,938.7107,10.3977,Wheat price,neutral,base
waste_rate_pct,2020-04,1.858,-0.364,Recipe mix,positive,base
vision_2030_index,2020-04,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-04,4055695.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-04,67050.2,0.0,Flour demand,neutral,base
total_recipe_hours,2020-04,1703.36,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-04,87.5143,0.0,Model accuracy,positive,base
seasonality_index,2020-04,1.165,0.0,Calendar,neutral,base
planned_recipe_hours,2020-04,1710.02,0.0,Schedule,neutral,base
available_mill_hours,2020-04,1772.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-04,61.98,0.0,Capacity balance,positive,base
avg_changeovers,2020-04,40.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-04,890.1191,0.0,Raw material,neutral,base
waste_impact_pct,2020-04,1.858,0.0,Waste,positive,base
mill_utilization_pct,2020-04,96.5023,0.0,Utilization,negative,base
overload_hours,2020-04,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-04,81.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-04,0.4,0.0,Continuity,neutral,base
downtime_risk_score,2020-04,48.3,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-04,67050.14,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-04,938.7107,0.0,Market,neutral,base
import_dependency_pct,2020-04,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-04,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-04,0.083,0.0,Quality,neutral,base
waste_rate_vs_target,2020-04,-0.64,0.0,Gap to target,positive,base
energy_per_ton,2020-04,67.344,0.0,Efficiency,neutral,base
water_per_ton,2020-04,0.7756,0.0,Conservation,neutral,base
vision_2030_compliance,2020-04,85.5,0.0,Composite,positive,base
total_demand_tons,2020-05,79107.78,17.9829,SKU forecast,positive,base
recipe_time_utilization_pct,2020-05,98.4149,1.9127,Time constraint,negative,base
capacity_violations_count,2020-05,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-05,949.9207,11.21,Wheat price,neutral,base
waste_rate_pct,2020-05,1.77,-0.088,Recipe mix,positive,base
vision_2030_index,2020-05,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-05,4768417.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-05,79107.78,0.0,Flour demand,neutral,base
total_recipe_hours,2020-05,2004.31,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-05,87.47,0.0,Model accuracy,positive,base
seasonality_index,2020-05,1.3306,0.0,Calendar,neutral,base
planned_recipe_hours,2020-05,1778.85,0.0,Schedule,neutral,base
available_mill_hours,2020-05,1807.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-05,28.65,0.0,Capacity balance,positive,base
avg_changeovers,2020-05,14.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-05,889.3648,0.0,Raw material,neutral,base
waste_impact_pct,2020-05,1.77,0.0,Waste,positive,base
mill_utilization_pct,2020-05,98.4149,0.0,Utilization,negative,base
overload_hours,2020-05,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-05,31.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-05,1.0,0.0,Continuity,neutral,base
downtime_risk_score,2020-05,49.2,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-05,79107.76,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-05,949.9207,0.0,Market,neutral,base
import_dependency_pct,2020-05,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-05,39.8,0.0,Geopolitics,negative,base
yield_variability_index,2020-05,0.066,0.0,Quality,neutral,base
waste_rate_vs_target,2020-05,-0.73,0.0,Gap to target,positive,base
energy_per_ton,2020-05,69.602,0.0,Efficiency,neutral,base
water_per_ton,2020-05,0.7752,0.0,Conservation,neutral,base
vision_2030_compliance,2020-05,85.5,0.0,Composite,positive,base
total_demand_tons,2020-06,58904.17,-25.5393,SKU forecast,negative,base
recipe_time_utilization_pct,2020-06,95.4615,-2.9535,Time constraint,negative,base
capacity_violations_count,2020-06,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-06,903.5733,-46.3474,Wheat price,neutral,base
waste_rate_pct,2020-06,1.974,0.204,Recipe mix,positive,base
vision_2030_index,2020-06,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-06,3564348.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-06,58904.17,0.0,Flour demand,neutral,base
total_recipe_hours,2020-06,1497.81,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-06,87.6714,0.0,Model accuracy,positive,base
seasonality_index,2020-06,1.0203,0.0,Calendar,neutral,base
planned_recipe_hours,2020-06,1696.35,0.0,Schedule,neutral,base
available_mill_hours,2020-06,1777.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-06,80.65,0.0,Capacity balance,positive,base
avg_changeovers,2020-06,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-06,890.619,0.0,Raw material,neutral,base
waste_impact_pct,2020-06,1.974,0.0,Waste,positive,base
mill_utilization_pct,2020-06,95.4615,0.0,Utilization,negative,base
overload_hours,2020-06,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-06,105.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-06,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-06,47.7,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-06,58904.16,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-06,903.5733,0.0,Market,neutral,base
import_dependency_pct,2020-06,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-06,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-06,0.107,0.0,Quality,neutral,base
waste_rate_vs_target,2020-06,-0.53,0.0,Gap to target,positive,base
energy_per_ton,2020-06,68.236,0.0,Efficiency,neutral,base
water_per_ton,2020-06,0.792,0.0,Conservation,neutral,base
vision_2030_compliance,2020-06,85.5,0.0,Composite,positive,base
total_demand_tons,2020-07,73271.92,24.3917,SKU forecast,positive,base
recipe_time_utilization_pct,2020-07,95.9747,0.5133,Time constraint,negative,base
capacity_violations_count,2020-07,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-07,918.5519,14.9785,Wheat price,neutral,base
waste_rate_pct,2020-07,2.056,0.082,Recipe mix,positive,base
vision_2030_index,2020-07,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-07,4421770.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-07,73271.92,0.0,Flour demand,neutral,base
total_recipe_hours,2020-07,1865.49,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-07,87.5853,0.0,Model accuracy,positive,base
seasonality_index,2020-07,1.2242,0.0,Calendar,neutral,base
planned_recipe_hours,2020-07,1707.87,0.0,Schedule,neutral,base
available_mill_hours,2020-07,1779.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-07,71.63,0.0,Capacity balance,positive,base
avg_changeovers,2020-07,37.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-07,890.2027,0.0,Raw material,neutral,base
waste_impact_pct,2020-07,2.056,0.0,Waste,positive,base
mill_utilization_pct,2020-07,95.9747,0.0,Utilization,negative,base
overload_hours,2020-07,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-07,76.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-07,0.4,0.0,Continuity,neutral,base
downtime_risk_score,2020-07,48.0,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-07,73271.92,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-07,918.5519,0.0,Market,neutral,base
import_dependency_pct,2020-07,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-07,40.4,0.0,Geopolitics,negative,base
yield_variability_index,2020-07,0.115,0.0,Quality,neutral,base
waste_rate_vs_target,2020-07,-0.44,0.0,Gap to target,positive,base
energy_per_ton,2020-07,68.524,0.0,Efficiency,neutral,base
water_per_ton,2020-07,0.784,0.0,Conservation,neutral,base
vision_2030_compliance,2020-07,85.5,0.0,Composite,positive,base
total_demand_tons,2020-08,56668.23,-22.6604,SKU forecast,negative,base
recipe_time_utilization_pct,2020-08,95.0525,-0.9223,Time constraint,negative,base
capacity_violations_count,2020-08,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-08,877.7949,-40.757,Wheat price,neutral,base
waste_rate_pct,2020-08,1.926,-0.13,Recipe mix,positive,base
vision_2030_index,2020-08,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-08,3419494.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-08,56668.23,0.0,Flour demand,neutral,base
total_recipe_hours,2020-08,1441.56,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-08,87.4147,0.0,Model accuracy,positive,base
seasonality_index,2020-08,0.9432,0.0,Calendar,neutral,base
planned_recipe_hours,2020-08,1712.37,0.0,Schedule,neutral,base
available_mill_hours,2020-08,1801.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-08,89.13,0.0,Capacity balance,positive,base
avg_changeovers,2020-08,53.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-08,890.5638,0.0,Raw material,neutral,base
waste_impact_pct,2020-08,1.926,0.0,Waste,positive,base
mill_utilization_pct,2020-08,95.0525,0.0,Utilization,negative,base
overload_hours,2020-08,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-08,108.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-08,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-08,47.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-08,56668.3,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-08,877.7949,0.0,Market,neutral,base
import_dependency_pct,2020-08,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-08,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-08,0.086,0.0,Quality,neutral,base
waste_rate_vs_target,2020-08,-0.57,0.0,Gap to target,positive,base
energy_per_ton,2020-08,69.04,0.0,Efficiency,neutral,base
water_per_ton,2020-08,0.7828,0.0,Conservation,neutral,base
vision_2030_compliance,2020-08,85.5,0.0,Composite,positive,base
total_demand_tons,2020-09,53770.89,-5.1128,SKU forecast,negative,base
recipe_time_utilization_pct,2020-09,94.9777,-0.0748,Time constraint,positive,base
capacity_violations_count,2020-09,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-09,871.5863,-6.2086,Wheat price,neutral,base
waste_rate_pct,2020-09,2.318,0.392,Recipe mix,positive,base
vision_2030_index,2020-09,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-09,3231180.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-09,53770.89,0.0,Flour demand,neutral,base
total_recipe_hours,2020-09,1367.68,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-09,87.4643,0.0,Model accuracy,positive,base
seasonality_index,2020-09,0.923,0.0,Calendar,neutral,base
planned_recipe_hours,2020-09,1702.0,0.0,Schedule,neutral,base
available_mill_hours,2020-09,1792.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-09,90.0,0.0,Capacity balance,positive,base
avg_changeovers,2020-09,60.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-09,890.6322,0.0,Raw material,neutral,base
waste_impact_pct,2020-09,2.318,0.0,Waste,positive,base
mill_utilization_pct,2020-09,94.9777,0.0,Utilization,positive,base
overload_hours,2020-09,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-09,121.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-09,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-09,47.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-09,53770.85,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-09,871.5863,0.0,Market,neutral,base
import_dependency_pct,2020-09,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-09,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-09,0.089,0.0,Quality,neutral,base
waste_rate_vs_target,2020-09,-0.18,0.0,Gap to target,positive,base
energy_per_ton,2020-09,68.804,0.0,Efficiency,neutral,base
water_per_ton,2020-09,0.7592,0.0,Conservation,neutral,base
vision_2030_compliance,2020-09,85.5,0.0,Composite,positive,base
total_demand_tons,2020-10,55267.41,2.7831,SKU forecast,positive,base
recipe_time_utilization_pct,2020-10,94.8949,-0.0828,Time constraint,positive,base
capacity_violations_count,2020-10,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-10,874.5619,2.9757,Wheat price,neutral,base
waste_rate_pct,2020-10,1.962,-0.356,Recipe mix,positive,base
vision_2030_index,2020-10,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-10,3355097.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-10,55267.41,0.0,Flour demand,neutral,base
total_recipe_hours,2020-10,1405.51,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-10,87.182,0.0,Model accuracy,positive,base
seasonality_index,2020-10,0.9235,0.0,Calendar,neutral,base
planned_recipe_hours,2020-10,1670.15,0.0,Schedule,neutral,base
available_mill_hours,2020-10,1760.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-10,89.85,0.0,Capacity balance,positive,base
avg_changeovers,2020-10,57.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-10,890.6934,0.0,Raw material,neutral,base
waste_impact_pct,2020-10,1.962,0.0,Waste,positive,base
mill_utilization_pct,2020-10,94.8949,0.0,Utilization,positive,base
overload_hours,2020-10,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-10,115.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-10,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-10,47.4,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-10,55267.4,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-10,874.5619,0.0,Market,neutral,base
import_dependency_pct,2020-10,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-10,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-10,0.056,0.0,Quality,neutral,base
waste_rate_vs_target,2020-10,-0.54,0.0,Gap to target,positive,base
energy_per_ton,2020-10,68.314,0.0,Efficiency,neutral,base
water_per_ton,2020-10,0.7864,0.0,Conservation,neutral,base
vision_2030_compliance,2020-10,85.5,0.0,Composite,positive,base
total_demand_tons,2020-11,55326.83,0.1075,SKU forecast,positive,base
recipe_time_utilization_pct,2020-11,95.0791,0.1842,Time constraint,negative,base
capacity_violations_count,2020-11,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-11,880.9943,6.4323,Wheat price,neutral,base
waste_rate_pct,2020-11,1.786,-0.176,Recipe mix,positive,base
vision_2030_index,2020-11,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-11,3348712.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-11,55326.83,0.0,Flour demand,neutral,base
total_recipe_hours,2020-11,1407.64,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-11,87.2905,0.0,Model accuracy,positive,base
seasonality_index,2020-11,0.9453,0.0,Calendar,neutral,base
planned_recipe_hours,2020-11,1682.9,0.0,Schedule,neutral,base
available_mill_hours,2020-11,1770.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-11,87.1,0.0,Capacity balance,positive,base
avg_changeovers,2020-11,54.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-11,890.5547,0.0,Raw material,neutral,base
waste_impact_pct,2020-11,1.786,0.0,Waste,positive,base
mill_utilization_pct,2020-11,95.0791,0.0,Utilization,negative,base
overload_hours,2020-11,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-11,109.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-11,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-11,47.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-11,55326.83,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-11,880.9943,0.0,Market,neutral,base
import_dependency_pct,2020-11,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-11,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-11,0.077,0.0,Quality,neutral,base
waste_rate_vs_target,2020-11,-0.71,0.0,Gap to target,positive,base
energy_per_ton,2020-11,69.78,0.0,Efficiency,neutral,base
water_per_ton,2020-11,0.7726,0.0,Conservation,neutral,base
vision_2030_compliance,2020-11,85.5,0.0,Composite,positive,base
total_demand_tons,2020-12,59282.95,7.1505,SKU forecast,positive,base
recipe_time_utilization_pct,2020-12,95.3063,0.2272,Time constraint,negative,base
capacity_violations_count,2020-12,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-12,891.7057,10.7114,Wheat price,neutral,base
waste_rate_pct,2020-12,1.88,0.094,Recipe mix,positive,base
vision_2030_index,2020-12,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-12,3591982.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-12,59282.95,0.0,Flour demand,neutral,base
total_recipe_hours,2020-12,1508.05,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-12,87.5714,0.0,Model accuracy,positive,base
seasonality_index,2020-12,0.981,0.0,Calendar,neutral,base
planned_recipe_hours,2020-12,1726.95,0.0,Schedule,neutral,base
available_mill_hours,2020-12,1812.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-12,85.05,0.0,Capacity balance,positive,base
avg_changeovers,2020-12,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-12,890.5701,0.0,Raw material,neutral,base
waste_impact_pct,2020-12,1.88,0.0,Waste,positive,base
mill_utilization_pct,2020-12,95.3063,0.0,Utilization,negative,base
overload_hours,2020-12,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-12,105.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-12,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-12,47.7,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-12,59282.85,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-12,891.7057,0.0,Market,neutral,base
import_dependency_pct,2020-12,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-12,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-12,0.06,0.0,Quality,neutral,base
waste_rate_vs_target,2020-12,-0.62,0.0,Gap to target,positive,base
energy_per_ton,2020-12,67.502,0.0,Efficiency,neutral,base
water_per_ton,2020-12,0.811,0.0,Conservation,neutral,base
vision_2030_compliance,2020-12,85.5,0.0,Composite,positive,base
total_demand_tons,2021-01,61507.74,3.7528,SKU forecast,positive,base
recipe_time_utilization_pct,2021-01,95.5161,0.2098,Time constraint,negative,base
capacity_violations_count,2021-01,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-01,1108.9953,217.2896,Wheat price,neutral,base
waste_rate_pct,2021-01,1.836,-0.044,Recipe mix,positive,base
vision_2030_index,2021-01,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2021-01,3708849.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2021-01,61507.74,0.0,Flour demand,neutral,base
total_recipe_hours,2021-01,1564.13,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2021-01,87.7558,0.0,Model accuracy,positive,base
seasonality_index,2021-01,1.0216,0.0,Calendar,neutral,base
planned_recipe_hours,2021-01,1723.11,0.0,Schedule,neutral,base
available_mill_hours,2021-01,1804.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2021-01,80.89,0.0,Capacity balance,positive,base
avg_changeovers,2021-01,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2021-01,1088.4873,0.0,Raw material,neutral,base
waste_impact_pct,2021-01,1.836,0.0,Waste,positive,base
mill_utilization_pct,2021-01,95.5161,0.0,Utilization,negative,base
overload_hours,2021-01,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-01,106.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-01,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2021-01,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-01,61507.88,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2021-01,1108.9953,0.0,Market,neutral,base
import_dependency_pct,2021-01,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2021-01,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2021-01,0.099,0.0,Quality,neutral,base
waste_rate_vs_target,2021-01,-0.66,0.0,Gap to target,positive,base
energy_per_ton,2021-01,67.762,0.0,Efficiency,neutral,base
water_per_ton,2021-01,0.7834,0.0,Conservation,neutral,base
vision_2030_compliance,2021-01,85.5,0.0,Composite,positive,base
total_demand_tons,2021-02,57977.01,-5.7403,SKU forecast,negative,base
recipe_time_utilization_pct,2021-02,95.5555,0.0394,Time constraint,negative,base
capacity_violations_count,2021-02,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-02,1120.7526,11.7573,Wheat price,neutral,base
